Permission,PermissionType
TeamsAppInstallation.ReadForTeam,Delegated
TeamsAppInstallation.ReadForTeam.All,Application
TeamsAppInstallation.ReadForUser,Delegated
TeamsAppInstallation.ReadForUser.All,Application
TeamsAppInstallation.ReadWriteForChat,Delegated
TeamsAppInstallation.ReadWriteForChat.All,Application
TeamsAppInstallation.ReadWriteForTeam,Delegated
TeamsAppInstallation.ReadWriteForTeam.All,Application
TeamsAppInstallation.ReadWriteForUser,Delegated
TeamsAppInstallation.ReadWriteSelfForChat,Delegated
TeamsAppInstallation.ReadWriteSelfForChat.All,Application
TeamsAppInstallation.ReadWriteSelfForTeam,Delegated
TeamsAppInstallation.ReadWriteSelfForTeam.All,Application
TeamsAppInstallation.ReadWriteSelfForUser,Delegated
TeamsAppInstallation.ReadWriteSelfForUser.All,Application
TeamSettings.Read.All,Application
TeamSettings.Read.All,Delegated
TeamSettings.ReadWrite.All,Application
TeamSettings.ReadWrite.All,Delegated
TeamsTab.Create,Application
TeamsTab.Create,Delegated
TeamsTab.Read.All,Application
TeamsTab.Read.All,Delegated
TeamsTab.ReadWrite.All,Application
TeamsTab.ReadWrite.All,Delegated
TeamsTab.ReadWriteForChat,Delegated
TeamsTab.ReadWriteForChat.All,Application
TeamsTab.ReadWriteForTeam.All,Application
TeamsTab.ReadWriteForUser,Delegated
Mail.Send,Delegated
Sites.FullControl.All,Application
Sites.FullControl.All,Delegated
Chat.ReadWrite.All,Application
GroupMember.ReadWrite.All,Application
GroupMember.ReadWrite.All,Delegated
Mail.Send,Application
Group.Read.All,Application
Sites.Read.All,Application
Sites.ReadWrite.All,Application
Sites.ReadWrite.All,Delegated
AuditLog.Read.All,Application
BitlockerKey.Read.All,Application
BitlockerKey.Read.All,Delegated
BitlockerKey.ReadBasic.All,Application
BitlockerKey.ReadBasic.All,Delegated
Group.ReadWrite.All,Application
Policy.ReadWrite.ConditionalAccess,Delegated
Policy.ReadWrite.FeatureRollout,Application
Policy.ReadWrite.FeatureRollout,Delegated
Policy.ReadWrite.TrustFramework,Application
Policy.ReadWrite.TrustFramework,Delegated
Subscription.Read.All,Delegated
ThreatIndicators.Read.All,Application
ThreatIndicators.Read.All,Delegated
ThreatIndicators.ReadWrite.OwnedBy,Application
ThreatIndicators.ReadWrite.OwnedBy,Delegated
ManagedTenants.Read.All,Delegated
SharePointTenantSettings.ReadWrite.All,Delegated
PrivilegedAssignmentSchedule.Read.AzureADGroup,Application
PrivilegedAssignmentSchedule.ReadWrite.AzureADGroup,Application
PrivilegedEligibilitySchedule.Read.AzureADGroup,Application
PrivilegedEligibilitySchedule.ReadWrite.AzureADGroup,Application
AppRoleAssignment.ReadWrite.All,Application
AppRoleAssignment.ReadWrite.All,Delegated
RoleAssignmentSchedule.Read.Directory,Delegated
RoleAssignmentSchedule.ReadWrite.Directory,Delegated
Policy.ReadWrite.SecurityDefaults,Application
Policy.ReadWrite.SecurityDefaults,Delegated
SecurityAlert.Read.All,Application
SecurityAlert.Read.All,Delegated
SecurityAlert.ReadWrite.All,Application
SecurityAlert.ReadWrite.All,Delegated
SecurityAnalyzedMessage.Read.All,Application
SecurityAnalyzedMessage.Read.All,Delegated
SecurityAnalyzedMessage.ReadWrite.All,Application
SecurityAnalyzedMessage.ReadWrite.All,Delegated
SecurityEvents.Read.All,Delegated
SecurityIncident.Read.All,Application
SecurityIncident.Read.All,Delegated
SecurityIncident.ReadWrite.All,Application
SecurityIncident.ReadWrite.All,Delegated
ThreatAssessment.ReadWrite.All,Delegated
ThreatHunting.Read.All,Application
ThreatHunting.Read.All,Delegated
ThreatIntelligence.Read.All,Application
ThreatIntelligence.Read.All,Delegated
ThreatSubmission.Read,Delegated
ThreatSubmission.Read.All,Application
ThreatSubmission.Read.All,Delegated
ThreatSubmission.ReadWrite,Delegated
ThreatSubmission.ReadWrite.All,Application
ThreatSubmission.ReadWrite.All,Delegated
ThreatSubmissionPolicy.ReadWrite.All,Application
ThreatSubmissionPolicy.ReadWrite.All,Delegated
ApprovalRequest.ReadWrite.AdminConsentRequest,Application
ApprovalRequest.ReadWrite.AdminConsentRequest,Delegated
ApprovalRequest.ReadWrite.CustomerLockbox,Application
ApprovalRequest.ReadWrite.CustomerLockbox,Delegated
ApprovalRequest.ReadWrite.EntitlementManagement,Application
ApprovalRequest.ReadWrite.EntitlementManagement,Delegated
ApprovalRequest.ReadWrite.PriviligedAccess,Application
